"name","flower","feather","sand","goblet","circlet","set2","set4"
"검투사의 피날레","검투사의 미련","검투사의 귀결","검투사의 희망","검투사의 취기","검투사의 개선","공격력+18%","해당 성유물 세트를 장착한 캐릭터가 한손검, 양손검, 장병기를 사용 시 캐릭터의 일반 공격으로 주는 피해가 35% 증가한다"
"대지를 유랑하는 악단","악단의 서광","연주자의 화살깃","피날레의 시계","음유시인의 주전자","지휘의 탑 햇","원소 마스터리+80pt","해당 성유물 세트를 장착한 캐릭터가 법구 또는 활을 사용 시 캐릭터의 강공격으로 주는 피해가 35% 증가한다"
"번개 같은 분노","뇌조의 연민","번개 재앙의 생존자","뇌정의 시계","낙뢰의 흉조","번개를 부르는 모자","번개 원소 피해 보너스+15%","과부하, 감전, 초전도, 만개 반응이 주는 피해가 40% 증가하고 촉진 반응이 주는 피해가 20% 증가한다. 위와 같은 원소 반응 또는 활성화 반응 발동 시, 원소전투 스킬의 재사용 대기시간이 1초 줄어든다. 해당 효과는 0.8초마다 최대 1회 발동한다"
"뇌명을 평정한 존자","뇌전 정복자의 마음","뇌전 정복자의 깃털","뇌전 정복자의 시계","뇌전 정복자의 술잔","뇌전 정복자의 관","번개 원소 내성+40%","번개 원소의 영향을 받은 적에게 주는 피해가 35% 증가한다"
"청록색 그림자","야생화 기억 속의 푸른 들판","사냥꾼의 푸른 화살깃","청록색 사냥꾼의 확신","청록색 사냥꾼의 그릇","청록색 사냥꾼의 모자","바람 원소 피해 보너스+15%","확산 반응이 주는 피해가 60% 증가한다. 확산되는 원소 타입에 따라 피해 범위 내 적의 해당 원소의 내성이 40% 감소한다. 지속 시간: 10초"
"사랑받는 소녀","먼 곳에 있는 소녀의 마음","소녀의 흔들리는 그리움","소녀의 짧은 행복","소녀의 짧은 여가","소녀의 꺾여가는 미모","캐릭터가 주는 치유 효과+15%","원소전투 스킬 또는 원소폭발 발동 후 10초 동안 파티 내 모든 캐릭터가 받는 치유 효과가 20% 증가한다"
"유구한 반암","바위 틈에서 자라난 꽃","험한 산봉우리의 날개","성라규벽의 시계","위암 반석의 술잔","부동현석의 상","바위 원소 피해 보너스+15%","결정 반응으로 만들어진 결정을 획득 시 파티 내 모든 캐릭터는 해당 원소 피해 보너스를 35% 획득한다. 지속 시간: 10초. 이러한 효과로 1가지의 원소 피해 보너스만 획득할 수 있다"
"날아오르는 유성","여름 축제의 꽃","여름 축제의 끝","여름 축제의 시계","여름 축제의 물풍선","여름 축제의 가면","보호막 강화 효과+35%","보호막이 존재 시 추가로 일반 공격과 강공격 보너스를 40% 획득한다"
"불타오르는 화염의 마녀","마녀의 염화 꽃","마녀의 불타는 깃털","마녀의 파멸의 시간","마녀 마음 속의 불꽃","불타오르는 마녀 모자","불 원소 피해 보너스+15%","과부하, 연소, 발화 반응으로 주는 피해가 40% 증가하고 증발, 융해 반응의 보너스 계수가 15% 증가한다. 원소전투 스킬 발동 후 10초 동안 2세트의 효과가 50% 증가한다. 최대 중첩수: 3회"
"불 위를 걷는 현인","불 위를 걷는 자의 결단","불 위를 걷는 자의 해탈","불 위를 걷는 자의 시련","불 위를 걷는 자의 깨달음","불 위를 걷는 자의 지혜","불 원소 내성+40%","불 원소의 영향을 받은 적에게 주는 피해가 35% 증가한다"
"피에 물든 기사도","피에 물든 강철 심장","피에 물든 검은 깃털","피에 물든 기사의 시계","피에 물든 기사의 술잔","피에 물든 철가면","가하는 물리 피해+25%","적을 처치한 후 10초 동안 강공격 사용 시 스태미나를 소모하지 않고 강공격으로 주는 피해가 50% 증가한다"
"옛 왕실의 의식","왕실의 꽃","왕실의 깃털","왕실의 시계","왕실의 은항아리","왕실의 가면","원소폭발로 주는 피해+20%","원소폭발 발동 후 파티 내 모든 캐릭터의 공격력이 20% 증가한다. 지속 시간: 12초. 해당 효과는 중첩되지 않는다"
"얼음바람 속에서 길잃은 용사","눈보라를 견딘 그리움","얼음을 깨며 나아가는 집념","눈 덮인 고향의 최후","서리를 감싼 기골","빙설을 밟는 소리","얼음 원소 피해 보너스+15%","얼음 원소의 영향을 받은 적을 공격 시 치명타 확률이 20% 증가한다. 만약 적이 빙결 상태라면 치명타 확률이 추가로 20% 증가한다"
"몰락한 마음","도금 브로치","추억의 바람","단단한 구리 나침반","해연의 잔","술로 얼룩진 수병모","물 원소 피해 보너스+15%","원소전투 스킬 발동 후 15초 동안 일반 공격과 강공격으로 주는 피해가 30% 증가한다"
"견고한 천암","공로의 꽃","소무의 깃털","금동의 해시계","맹세의 금잔","장수의 투구","HP+20%","원소전투 스킬이 적을 명중하면 파티 내 주변 모든 캐릭터의 공격력이 20% 증가하고, 보호막 강화 효과가 30% 증가한다. 지속 시간: 3초. 해당 효과는 0.5초마다 최대 1회 발동되며, 해당 성유물을 장착 한 캐릭터가 대기 상태 일 때도 발동된다"
"창백의 화염","무구의 꽃","명의의 깃털","정지된 시간","초월의 잔","조소의 가면","가하는 물리 피해+25%","원소전투 스킬로 적을 명중하면 공격력이 9% 증가한다. 지속 시간: 7초, 최대 중첩수: 2회. 해당 효과는 0.3초마다 1회 발동되며, 2회 중첩 시 2세트의 효과가 100% 증가한다"
"추억의 시메나와","속박의 꽃","회상의 화살","아침 이슬의 시간","기도하는 마음","무상의 가면","공격력+18%","원소전투 스킬 발동 후 캐릭터의 원소 에너지가 15pt 이상일 경우, 15pt의 원소 에너지를 잃는다. 그 후 10초 동안 일반 공격, 강공격, 낙하 공격으로 주는 피해가 50% 증가한다. 지속 기간 내에 해당 효과는 다시 발동하지 않는다"
